GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
"tests (1) (May 3, 2016 6:39:26 PM)/CS3733_D16_Idomeneus_Kabasuji/src",levelbuilder.controller,CreateNewLevelBuilderController,49,0,0,0,15,0,4,0,4,0
"tests (1) (May 3, 2016 6:39:26 PM)/CS3733_D16_Idomeneus_Kabasuji/src",levelbuilder.controller,TestLevelBuilderController,54,0,0,0,16,0,4,0,4,0
"tests (1) (May 3, 2016 6:39:26 PM)/CS3733_D16_Idomeneus_Kabasuji/src",levelbuilder.controller,SaveLevelController,171,0,14,0,53,0,11,0,4,0
"tests (1) (May 3, 2016 6:39:26 PM)/CS3733_D16_Idomeneus_Kabasuji/src",levelbuilder.controller,BuilderReleaseBoardController,135,0,14,0,42,0,11,0,4,0
"tests (1) (May 3, 2016 6:39:26 PM)/CS3733_D16_Idomeneus_Kabasuji/src",levelbuilder.controller,LoadLevelsBuilderController,49,0,0,0,15,0,4,0,4,0
"tests (1) (May 3, 2016 6:39:26 PM)/CS3733_D16_Idomeneus_Kabasuji/src",levelbuilder.controller,UndoController,108,0,4,0,27,0,6,0,4,0
"tests (1) (May 3, 2016 6:39:26 PM)/CS3733_D16_Idomeneus_Kabasuji/src",levelbuilder.controller,SetNumberController,67,0,8,0,18,0,8,0,4,0
"tests (1) (May 3, 2016 6:39:26 PM)/CS3733_D16_Idomeneus_Kabasuji/src",levelbuilder.controller,BuilderBoardController,265,0,28,0,60,0,18,0,4,0
"tests (1) (May 3, 2016 6:39:26 PM)/CS3733_D16_Idomeneus_Kabasuji/src",levelbuilder.controller,GoToMainMenuBuilderController,54,0,0,0,16,0,4,0,4,0
"tests (1) (May 3, 2016 6:39:26 PM)/CS3733_D16_Idomeneus_Kabasuji/src",levelbuilder.controller,EditNewLevelBuilderController,149,0,8,0,37,0,8,0,4,0
"tests (1) (May 3, 2016 6:39:26 PM)/CS3733_D16_Idomeneus_Kabasuji/src",levelbuilder.controller,RedoController,108,0,4,0,27,0,6,0,4,0
"tests (1) (May 3, 2016 6:39:26 PM)/CS3733_D16_Idomeneus_Kabasuji/src",levelbuilder.controller,IncrementPieceBuilderController,52,0,2,0,17,0,3,0,2,0
"tests (1) (May 3, 2016 6:39:26 PM)/CS3733_D16_Idomeneus_Kabasuji/src",levelbuilder.controller,DeselectReleaseButtonsController,64,0,8,0,18,0,8,0,4,0
"tests (1) (May 3, 2016 6:39:26 PM)/CS3733_D16_Idomeneus_Kabasuji/src",levelbuilder.controller,SetColorController,67,0,8,0,18,0,8,0,4,0
"tests (1) (May 3, 2016 6:39:26 PM)/CS3733_D16_Idomeneus_Kabasuji/src",levelbuilder.controller,SelectLevelBuilderController,144,0,12,0,32,0,10,0,4,0
"tests (1) (May 3, 2016 6:39:26 PM)/CS3733_D16_Idomeneus_Kabasuji/src",levelbuilder.controller,DeleteLevelController,70,0,0,0,21,0,4,0,4,0
"tests (1) (May 3, 2016 6:39:26 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.controller.moves,SelectPieceMove,31,0,4,0,10,0,5,0,3,0
"tests (1) (May 3, 2016 6:39:26 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.controller.moves,RotatePieceMove,33,0,4,0,11,0,5,0,3,0
"tests (1) (May 3, 2016 6:39:26 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.controller.moves,FlipPieceMove,33,0,4,0,11,0,5,0,3,0
"tests (1) (May 3, 2016 6:39:26 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.controller.moves,SelectLevelMove,59,0,6,0,11,0,6,0,3,0
"tests (1) (May 3, 2016 6:39:26 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.controller.moves,ChangeScreenMove,27,0,4,0,10,0,5,0,3,0
"tests (1) (May 3, 2016 6:39:26 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.controller.moves,Move,3,0,0,0,1,0,1,0,1,0
"tests (1) (May 3, 2016 6:39:26 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji,Main,6342,0,40,0,309,0,41,0,4,0
"tests (1) (May 3, 2016 6:39:26 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.controller,SelectPieceBullpenController,143,0,8,0,34,0,8,0,4,0
"tests (1) (May 3, 2016 6:39:26 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.controller,SelectLevelController,123,0,2,0,30,0,5,0,4,0
"tests (1) (May 3, 2016 6:39:26 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.controller,TileController,418,0,34,0,78,0,22,0,5,0
"tests (1) (May 3, 2016 6:39:26 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.controller,GoToMainMenuController,54,0,0,0,16,0,4,0,4,0
